epoch;accuracy;iou_coef;loss;val_accuracy;val_iou_coef;val_loss
12;0.9363755;0.739495;0.06490584922333559;0.8837606;0.6263342;0.22018625407169262
13;0.9418782;0.75880396;0.05957882523329722;0.88252;0.62531346;0.22587508441259463
14;0.9436013;0.7625992;0.0577265372292863;0.8842588;0.63784534;0.22688475114603837
15;0.9441042;0.7678807;0.05645793271768424;0.87572354;0.6142147;0.18715263127038875
16;0.9452344;0.7699759;0.05563369228815039;0.8815669;0.6247957;0.2407272990172108
17;0.94592786;0.7732953;0.054579567795412405;0.8824814;0.6302963;0.26962428105374175
18;0.94599617;0.77383363;0.05468214961389701;0.8811541;0.63873935;0.23801426958913605
19;0.9467278;0.77573675;0.05377947287634015;0.8812993;0.630406;0.27316577173769474
20;0.94460475;0.7702093;0.055463187862187624;0.8840324;0.640556;0.2743729637314876
21;0.94951874;0.7860525;0.050525207879642646;0.88566995;0.6417895;0.2897534524401029
22;0.94954824;0.78741556;0.05084703351991872;0.88136876;0.63207763;0.23331975160787502
23;0.94870114;0.7818385;0.05174101059738961;0.8805369;0.62961924;0.2534220648308595
24;0.9514556;0.79166317;0.04896898354507155;0.8842519;0.6397267;0.28684693546965717
25;0.95021564;0.78993773;0.049939259027855266;0.8845088;0.63535154;0.2986391792073846
26;0.94918764;0.78581536;0.05089314599624938;0.8823649;0.6400889;0.2380133394772808
27;0.95127875;0.7919081;0.04938999313550691;0.8803411;0.6262748;0.23438133380065362
28;0.9528224;0.7975162;0.047760042004908125;0.8837087;0.6357059;0.24582729631414016
29;0.9526259;0.7975835;0.04749233182002273;0.88606566;0.63875586;0.2656299955832461
30;0.9522983;0.79708624;0.0478689134069201;0.8830353;0.62637675;0.2489345314912498
31;0.9529059;0.79552895;0.04807903622794482;0.8815493;0.6460715;0.25584201198071244
32;0.9542062;0.8030317;0.04635883171318306;0.88342667;0.634318;0.2768128751156231
33;0.95527226;0.80671954;0.045025359239015315;0.88003796;0.636743;0.2571296594416102
34;0.95577323;0.8074395;0.044443587456933324;0.88364613;0.64629006;0.28400012739002706
35;0.95535445;0.8072469;0.045024730627321534;0.8817088;0.63283026;0.29932616803174217
36;0.94577897;0.7727405;0.055995961071716414;0.8817187;0.64194393;0.28321540852387744
37;0.9553777;0.806635;0.04525082544941041;0.8815264;0.6447402;0.2695075022056699
38;0.9548819;0.80451745;0.04614648028380341;0.8813886;0.63911223;0.25860976508508127
39;0.95803493;0.81714463;0.041894718094004524;0.8820849;0.6460899;0.281935016810894
40;0.95864844;0.8200403;0.041048858252664404;0.8836098;0.6437299;0.312638214447846
